,0,1,2
0,1,19.668500900268555,25.0
1,3,19.898500442504883,25.0
2,15,20.352500915527344,24.5
3,17,19.993499755859375,12.5
4,20,19.721500396728516,24.5
5,22,20.15049934387207,12.0
6,25,17.397499084472656,25.5
7,27,17.72949981689453,25.0
8,31,17.462499618530273,13.0
9,35,17.368999481201172,26.0
10,43,17.98900032043457,25.0
11,45,18.618499755859375,24.5
12,50,18.531999588012695,24.5
13,52,18.687000274658203,24.5
14,53,18.75200080871582,12.0
15,54,18.938499450683594,6.0
16,56,18.44849967956543,24.5
17,58,17.592500686645508,25.5
18,60,17.170499801635742,13.0
19,67,16.149999618530273,27.0
20,69,16.353500366210938,26.5
21,70,16.590299606323242,13.0
22,71,15.855500221252441,7.0
23,73,15.795499801635742,3.5
24,77,16.543500900268555,1.5
25,78,16.465999603271484,1.0
26,79,16.229000091552734,0.5
27,81,15.191499710083008,29.5
28,82,14.829000473022461,15.5
29,85,15.394499778747559,29.5
30,91,14.612000465393066,30.5
31,93,15.232000350952148,29.5
32,99,15.250499725341797,29.0
33,101,15.612000465393066,28.5
34,103,15.508000373840332,28.5
35,106,15.442000389099121,29.0
36,107,15.35949993133545,14.5
37,110,16.48349952697754,6.5
38,120,16.209999084472656,29.0
39,121,16.36199951171875,14.5
40,125,16.228500366210938,29.0
41,127,16.61949920654297,14.0
42,128,16.642499923706055,7.0
43,129,16.87459945678711,3.5
44,136,17.722000122070312,26.0
45,149,15.352999687194824,30.5
46,154,15.84000015258789,29.5
47,162,16.788999557495117,28.0
48,163,16.64550018310547,14.0
49,166,17.09149932861328,27.5
50,170,17.118999481201172,27.5
51,171,16.950000762939453,14.0
52,174,17.117000579833984,27.5
53,179,16.194499969482422,29.0
54,180,16.38800048828125,14.0
55,188,16.160499572753906,29.0
56,191,15.873000144958496,29.5
57,192,15.920499801635742,15.0
58,196,16.135000228881836,29.0
59,197,15.768500328063965,15.0
60,206,15.648500442504883,29.0
61,210,14.779500007629395,29.5
62,212,14.953499794006348,15.0
63,214,15.28600025177002,29.5
64,216,14.826000213623047,15.0
65,224,16.15250015258789,27.5
66,228,16.631500244140625,26.5
67,229,16.781999588012695,13.0
68,230,16.75200080871582,7.0
69,231,16.678499221801758,3.5
70,232,16.93199920654297,1.5
71,234,16.315500259399414,1.0
72,237,15.631500244140625,27.0
73,239,15.625,13.5
74,241,15.368000030517578,27.0
75,246,14.886500358581543,28.0
76,249,15.314299583435059,27.0
77,250,15.15149974822998,13.5
78,255,15.425999641418457,27.0
79,256,15.10949993133545,14.0
80,257,14.76449966430664,7.0
81,258,14.920999526977539,3.5
82,260,14.846500396728516,28.0
83,266,14.472000122070312,28.5
84,274,17.726499557495117,24.0
85,275,18.223499298095703,12.0
86,278,18.694499969482422,5.5
87,279,18.714000701904297,3.0
88,280,18.527999877929688,1.5
89,283,18.85849952697754,23.5
90,286,18.668500900268555,24.0
91,295,19.230499267578125,23.5
92,296,19.13599967956543,11.5
93,302,18.711999893188477,24.0
94,304,18.667499542236328,12.0
95,312,18.36750030517578,24.0
96,313,18.527999877929688,12.0
97,314,18.72949981689453,6.0
98,315,18.604999542236328,3.0
99,317,18.612499237060547,24.0
100,318,18.851999282836914,11.5
101,321,19.177000045776367,6.0
102,322,19.13249969482422,3.0
103,323,19.118000030517578,1.5
104,324,19.25550079345703,0.5
105,332,22.2549991607666,20.5
106,334,21.465499877929688,21.0
107,338,21.152000427246094,21.5
108,343,21.642499923706055,21.0
109,346,21.61400032043457,20.5
110,348,21.261999130249023,10.5
111,349,21.085500717163086,5.5
112,354,21.570999145507812,21.0
113,357,21.54599952697754,21.0
114,359,21.829500198364258,20.5
115,361,21.34749984741211,21.0
116,362,21.174999237060547,10.5
117,364,21.53849983215332,5.0
118,366,21.496000289916992,21.0
119,369,21.390499114990234,21.0
120,370,21.969499588012695,10.0
121,380,21.885499954223633,20.5
122,382,21.836000442504883,20.5
123,383,21.485000610351562,10.5
124,384,21.719499588012695,5.5
125,390,24.15049934387207,19.0
126,393,24.41349983215332,19.0
127,396,26.570499420166016,8.5
128,397,26.30150032043457,4.5
129,405,26.131000518798828,18.5
130,412,26.750999450683594,18.5
131,413,26.645999908447266,9.0
132,415,24.723499298095703,19.5
133,416,23.168500900268555,10.0
134,417,23.318500518798828,5.0
135,418,25.03849983215332,2.5
136,419,25.918500900268555,1.0
137,420,25.90049934387207,0.5
138,421,25.644500732421875,0.5
139,427,25.844499588012695,19.0
140,428,26.11199951171875,9.5
141,431,26.118499755859375,19.0
142,437,26.803499221801758,19.0
143,441,24.803499221801758,20.5
144,442,25.594499588012695,9.5
145,445,27.18400001525879,19.0
146,449,26.989999771118164,19.0
147,450,27.50950050354004,9.5
148,452,27.241500854492188,4.5
149,454,28.538000106811523,2.5
150,457,27.78849983215332,19.0
151,463,31.327499389648438,17.5
152,464,31.295000076293945,9.0
153,470,32.77450180053711,17.5
154,471,32.98400115966797,8.5
155,472,33.662498474121094,4.5
156,477,33.176998138427734,17.5
157,480,33.949501037597656,8.5
158,483,33.66299819946289,4.0
159,486,33.800498962402344,17.0
160,487,33.3125,8.5
161,489,33.49150085449219,17.0
162,491,33.239498138427734,8.5
163,492,33.11600112915039,4.5
164,494,32.89550018310547,2.0
165,498,33.207000732421875,17.0
166,503,33.7599983215332,17.0
167,505,34.45349884033203,8.0
168,511,30.352500915527344,18.5
169,513,30.894500732421875,18.5
170,515,29.649999618530273,9.5
171,516,28.509000778198242,5.0
172,517,28.724000930786133,2.5
173,518,28.588499069213867,1.5
174,520,29.819000244140625,18.5
175,521,29.826499938964844,9.0
176,525,29.350000381469727,19.5
177,529,26.812999725341797,21.0
178,530,25.10650062561035,11.0
179,531,24.405000686645508,5.5
180,534,25.19099998474121,21.0
181,541,27.64699935913086,19.0
182,542,27.70199966430664,9.5
183,545,27.625999450683594,5.0
184,546,28.95199966430664,2.5
185,549,28.756999969482422,1.0
186,551,28.01300048828125,19.0
187,552,27.973499298095703,9.5
188,558,27.972000122070312,19.5
189,559,27.604000091552734,10.0
190,561,28.02400016784668,19.5
191,562,28.48150062561035,9.5
192,564,28.993499755859375,19.5
193,566,29.934499740600586,9.0
194,569,29.659500122070312,19.0
195,572,29.571500778198242,9.5
196,577,31.037500381469727,18.5
197,582,31.549999237060547,18.0
198,583,31.024999618530273,9.5
199,584,31.309999465942383,4.5
200,587,30.100000381469727,2.5
201,593,33.6974983215332,18.5
202,594,33.98749923706055,9.0
203,599,35.53300094604492,18.0
204,601,34.872501373291016,18.0
205,605,35.209999084472656,18.0
206,606,35.41749954223633,9.0
207,607,35.74549865722656,4.5
208,613,36.33649826049805,17.5
209,614,36.1870002746582,9.0
210,617,35.89550018310547,18.0
211,618,35.762001037597656,9.0
212,620,35.7130012512207,4.5
213,621,35.8754997253418,2.0
214,627,34.948001861572266,18.5
215,635,36.82849884033203,17.5
216,640,37.060001373291016,17.0
217,647,36.980499267578125,8.5
218,651,37.94049835205078,16.5
219,652,38.387001037597656,8.5
220,655,38.03850173950195,16.5
221,658,38.41550064086914,16.5
222,659,38.428001403808594,8.5
223,667,37.9739990234375,17.0
224,670,37.96099853515625,17.0
225,672,38.56449890136719,8.0
226,676,38.62200164794922,4.0
227,681,38.574501037597656,17.0
228,683,38.054500579833984,8.5
229,684,38.484500885009766,4.5
230,686,38.755001068115234,2.0
231,687,39.01100158691406,1.0
232,689,40.23500061035156,16.5
233,690,40.287498474121094,8.5
234,691,39.95800018310547,4.0
235,692,40.80550003051758,2.0
236,695,41.865501403808594,16.5
237,697,41.701499938964844,8.0
238,699,42.08300018310547,16.5
239,700,41.971500396728516,8.5
240,705,41.14799880981445,17.0
241,706,40.647499084472656,8.5
242,711,41.90449905395508,16.5
243,712,41.75899887084961,8.5
244,714,40.917999267578125,4.0
245,716,39.49100112915039,2.5
246,717,39.27050018310547,1.0
247,721,39.246498107910156,16.5
248,724,37.11899948120117,17.0
249,726,35.95349884033203,9.0
250,733,39.00600051879883,16.5
251,734,39.01850128173828,8.5
252,735,38.3385009765625,4.5
253,739,37.016998291015625,17.5
254,740,37.96799850463867,8.5
255,742,38.520999908447266,4.0
256,745,38.00600051879883,2.0
257,746,38.71699905395508,1.0
258,750,38.29999923706055,17.0
259,751,38.56100082397461,8.5
260,756,38.60649871826172,17.0
261,764,39.79499816894531,16.5
262,767,40.856998443603516,8.0
263,772,40.89400100708008,16.0
264,773,41.12200164794922,8.0
265,774,41.82600021362305,4.0
266,776,41.78850173950195,16.0
267,777,41.51900100708008,8.0
268,778,41.17399978637695,4.5
269,780,41.997501373291016,16.0
270,783,40.625,16.5
271,785,41.06800079345703,8.0
272,792,42.821998596191406,15.5
273,796,42.43199920654297,16.0
274,799,42.445499420166016,15.5
275,803,42.525001525878906,15.5
276,808,42.64849853515625,15.5
277,811,42.8484992980957,15.5
278,813,42.40299987792969,15.5
279,818,43.715999603271484,15.0
280,821,44.57550048828125,15.0
281,830,45.0994987487793,15.0
282,834,44.92649841308594,15.0
283,838,45.91899871826172,14.5
284,841,47.34700012207031,7.0
285,848,47.38100051879883,14.5
286,850,47.89849853515625,14.5
287,851,48.30350112915039,7.0
288,853,47.92449951171875,3.5
289,856,48.57699966430664,14.0
290,859,49.78900146484375,14.0
291,861,49.73099899291992,14.0
292,864,50.56700134277344,13.5
293,865,50.150001525878906,7.0
294,868,48.91550064086914,14.0
295,878,50.1870002746582,13.5
296,880,48.8390007019043,7.0
297,881,49.51649856567383,3.5
298,882,48.79650115966797,2.0
299,884,47.68299865722656,14.0
300,887,48.9379997253418,14.0
301,894,51.22249984741211,13.5
302,903,49.388999938964844,14.0
303,906,49.34600067138672,14.0
304,911,47.84600067138672,14.5
305,916,48.028499603271484,14.5
306,918,47.66450119018555,14.5
307,922,47.26300048828125,14.5
308,925,48.37950134277344,7.5
309,930,48.9734992980957,14.5
310,932,48.89799880981445,7.5
311,940,48.23249816894531,15.0
312,941,47.755001068115234,7.5
313,946,48.067501068115234,14.5
314,952,49.54949951171875,14.0
315,953,49.36000061035156,7.0
316,955,50.04650115966797,14.0
317,957,50.31700134277344,7.0
318,959,49.849998474121094,14.0
319,963,48.79499816894531,14.5
320,965,48.621498107910156,7.0
321,967,55.54249954223633,3.0
322,969,55.183998107910156,1.5
323,971,55.58000183105469,1.0
324,972,56.03300094604492,0.5
325,975,56.45650100708008,14.0
326,978,56.84199905395508,14.0
327,980,56.864498138427734,14.0
328,989,58.837501525878906,13.5
329,990,58.11750030517578,6.5
330,993,57.61750030517578,13.0
331,994,57.989498138427734,6.5
332,995,58.099998474121094,3.5
333,998,58.20650100708008,13.0
334,999,58.7130012512207,6.5
335,1000,58.957000732421875,3.5
336,1001,59.52899932861328,1.5
337,1003,58.88100051879883,13.0
338,1006,58.8380012512207,13.0
339,1011,60.209999084472656,13.0
340,1012,60.47949981689453,6.5
341,1015,62.6349983215332,12.5
342,1022,64.72899627685547,12.5
343,1023,66.3655014038086,6.0
344,1028,70.88400268554688,11.5
345,1030,72.54450225830078,11.5
346,1031,69.5,6.0
347,1032,71.49749755859375,3.0
348,1034,72.14199829101562,1.5
349,1038,69.3115005493164,12.0
350,1041,73.08799743652344,11.5
351,1042,72.43450164794922,6.0
352,1043,73.4175033569336,3.0
353,1045,74.26699829101562,11.5
354,1048,75.5989990234375,11.5
355,1057,79.91950225830078,11.0
356,1060,79.11599731445312,5.5
357,1061,78.58399963378906,2.5
358,1071,68.59950256347656,12.5
359,1073,70.52850341796875,12.5
360,1077,71.81099700927734,12.5
361,1083,76.39199829101562,11.5
362,1085,76.37449645996094,11.5
363,1086,75.89299774169922,6.0
364,1087,73.00450134277344,3.0
365,1089,75.89800262451172,11.5
366,1090,78.63099670410156,5.5
367,1094,78.60379791259766,11.0
368,1096,80.00700378417969,11.0
369,1099,80.4540023803711,11.0
370,1100,80.14550018310547,5.5
371,1103,79.36399841308594,2.5
372,1104,79.08799743652344,1.5
373,1105,78.71849822998047,0.5
374,1107,79.06999969482422,0.5
375,1121,84.9375,10.5
376,1122,85.24299621582031,5.0
377,1126,86.73899841308594,10.0
378,1129,85.78350067138672,10.5
379,1132,83.02549743652344,10.5
380,1136,84.697998046875,10.5
381,1146,92.14600372314453,10.0
382,1147,90.64849853515625,5.0
383,1149,90.0999984741211,10.0
384,1151,93.18049621582031,4.5
385,1153,90.8635025024414,10.0
